keyword,rename_file_to,type,to_dir
northwesternenergy,Northwestern Energy,Bill,/home/chad/Documents/git_hub/class_redmage/code/chad/python_final_project/doc_receive
republicser,Republic Services,Bill,/home/chad/Documents/git_hub/class_redmage/code/chad/python_final_project/doc_receive
